Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"66334","","","None","vtop2.vitap.ac.in","tcp","0","Patch Report","The remote host is missing several patches.","The remote host is missing one or more security patches. This plugin lists the newest version of each patch to install 
to make sure the remote host is up-to-date.

Note: Because the 'Show missing patches that have been superseded' setting in your scan policy depends on this plugin,
it will always run and cannot be disabled.","Install the patches listed below.","","

. You need to take the following action :

[ Apache Tomcat 9.0.0.M1 < 9.0.81 multiple vulnerabilities (182809) ]

+ Action to take : Upgrade to Apache Tomcat version 9.0.81 or later.

+Impact : Taking this action will resolve 28 different vulnerabilities (CVEs).



","","","","","","None","","","","2013/07/08","2023/10/10","","",""
"70544","","","None","vtop2.vitap.ac.in","tcp","443","SSL Cipher Block Chaining Cipher Suites Supported","The remote service supports the use of SSL Cipher Block Chaining
ciphers, which combine previous blocks with subsequent ones.","The remote host supports the use of SSL ciphers that operate in Cipher
Block Chaining (CBC) mode.  These cipher suites offer additional
security over Electronic Codebook (ECB) mode, but have the potential to
leak information if used improperly.","n/a","https://www.openssl.org/docs/manmaster/man1/ciphers.html
http://www.nessus.org/u?cc4a822a
https://www.openssl.org/~bodo/tls-cbc.txt","
Here is the list of SSL CBC ciphers supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES128-SHA            0x00, 0x33       DH            RSA      AES-CBC(128)           SHA1
    DHE-RSA-AES256-SHA            0x00, 0x39       DH            RSA      AES-CBC(256)           SHA1
    ECDHE-RSA-AES128-SHA          0xC0, 0x13       ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA          0xC0, 0x14       ECDH          RSA      AES-CBC(256)           SHA1
    DHE-RSA-AES128-SHA256         0x00, 0x67       DH            RSA      AES-CBC(128)           SHA256
    DHE-RSA-AES256-SHA256         0x00, 0x6B       DH            RSA      AES-CBC(256)           SHA256
    ECDHE-RSA-AES128-SHA256       0xC0, 0x27       ECDH          RSA      AES-CBC(128)           SHA256
    ECDHE-RSA-AES256-SHA384       0xC0, 0x28       ECDH          RSA      AES-CBC(256)           SHA384

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
","","","","","","None","","","","2013/10/22","2021/02/03","","",""
"84502","","","None","vtop2.vitap.ac.in","tcp","443","HSTS Missing From HTTPS Server","The remote web server is not enforcing HSTS.","The remote HTTPS server is not enforcing HTTP Strict Transport Security (HSTS). 
HSTS is an optional response header that can be configured on the server to instruct 
the browser to only communicate via HTTPS. The lack of HSTS allows downgrade attacks,
SSL-stripping man-in-the-middle attacks, and weakens cookie-hijacking protections.","Configure the remote web server to use HSTS.","https://tools.ietf.org/html/rfc6797","
  The remote HTTPS server does not send the HTTP
  ""Strict-Transport-Security"" header.
","","","","","","None","","","","2015/07/02","2021/05/19","","",""
"94761","","","None","vtop2.vitap.ac.in","tcp","443","SSL Root Certification Authority Certificate Information","A root Certification Authority certificate was found at the top of the
certificate chain.","The remote service uses an SSL certificate chain that contains a
self-signed root Certification Authority certificate at the top of the
chain.","Ensure that use of this root Certification Authority certificate
complies with your organization's acceptable use and security
policies.","https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2003/cc778623(v=ws.10)","
The following root Certification Authority certificate was found :

|-Subject             : C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=AAA Certificate Services
|-Issuer              : C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=AAA Certificate Services
|-Valid From          : Jan 01 00:00:00 2004 GMT
|-Valid To            : Dec 31 23:59:59 2028 GMT
|-Signature Algorithm : SHA-1 With RSA Encryption
","","","","","","None","","","","2016/11/14","2018/11/15","","",""
"95631","","","None","vtop2.vitap.ac.in","tcp","443","SSL Certificate Signed Using Weak Hashing Algorithm (Known CA)","A known CA SSL certificate in the certificate chain has been signed
using a weak hashing algorithm.","The remote service uses a known CA certificate in the SSL certificate chain that has been signed using a 
cryptographically weak hashing algorithm (e.g., MD2, MD4, MD5, or SHA1). These signature algorithms are known to be 
vulnerable to collision attacks (CVE-2004-2761, for example). An attacker can exploit this to generate another 
certificate with the same digital signature, allowing the attacker to masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with SHA-1 that expire after January 1, 2017 as 
vulnerable. This is in accordance with Google's gradual sunsetting of the SHA-1 cryptographic hash algorithm.

Note that this plugin will only fire on root certificates that are known certificate authorities as listed in Tenable 
Community Knowledge Article 000001752. That is what differentiates this plugin from plugin 35291, which will fire on any
certificate, not just known certificate authority root certificates.

Known certificate authority root certificates are inherently trusted and so any potential issues with the signature, 
including it being signed using a weak hashing algorithm, are not considered security issues.","Contact the Certificate Authority to have the certificate reissued.","http://www.nessus.org/u?ae636e78
https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2","
The following known CA certificates were part of the certificate
chain sent by the remote host, but contain hashes that are considered
to be weak.

Subject             : C=GB/ST=Greater Manchester/L=Salford/O=Comodo CA Limited/CN=AAA Certificate Services
Signature Algorithm : SHA-1 With RSA Encryption
Valid From          : Jan 01 00:00:00 2004 GMT
Valid To            : Dec 31 23:59:59 2028 GMT
Raw PEM certificate : 
-----BEGIN CERTIFICATE-----
MIIEMjCCAxqgAwIBAgIBATANBgkqhkiG9w0BAQUFADB7MQswCQYDVQQGEwJHQjEbMBkGA1UECAwSR3JlYXRlciBNYW5jaGVzdGVyMRAwDgYDVQQHDAdTYWxmb3JkMRowGAYDVQQKDBFDb21vZG8gQ0EgTGltaXRlZDEhMB8GA1UEAwwYQUFBIENlcnRpZmljYXRlIFNlcnZpY2VzMB4XDTA0MDEwMTAwMDAwMFoXDTI4MTIzMTIzNTk1OVowezELMAkGA1UEBhMCR0IxGzAZBgNVBAgMEkdyZWF0ZXIgTWFuY2hlc3RlcjEQMA4GA1UEBwwHU2FsZm9yZDEaMBgGA1UECgwRQ29tb2RvIENBIExpbWl0ZWQxITAfBgNVBAMMGEFBQSBDZXJ0aWZpY2F0ZSBTZXJ2aWNlczCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAL5AnfRu4ep2hxxNRUSOvkbIgwadwSr+GB+O5AL686tdUIoWMQuaBtDFcCLNSS1UY8y2bmhGC1Pqy0wkwLxyTurxFa70VJoSCsN6sjNg4tqJVfMiWPPe3M/vg4aijJRPn2jymJBGhCfHdr/jzDUsi14HZGWCwEiwqJH5YZ92IFCokcdmtet4YgNW8IoaE+oxox6gmf049vYnMlhvB/VruPsUK6+3qszWY19zjNoFmag4qMsXeDZRrOme9Hg6jc8P2ULimAyrL58OAd7vn5lJ8S3frHRNG5i1R8XlKdH5kBjHYpy+g8cmez6KJcfA3Z3mNWgQIJ2P2N7Sw4ScDV7oL8kCAwEAAaOBwDCBvTAdBgNVHQ4EFgQUoBEKIz6W8Qfs4q8p74Klf9AwpLQwDgYDVR0PAQH/BAQDAgEGMA8GA1UdEwEB/wQFMAMBAf8wewYDVR0fBHQwcjA4oDagNIYyaHR0cDovL2NybC5jb21vZG9jYS5jb20vQUFBQ2VydGlmaWNhdGVTZXJ2aWNlcy5jcmwwNqA0oDKGMGh0dHA6Ly9jcmwuY29tb2RvLm5ldC9BQUFDZXJ0aWZpY2F0ZVNlcnZpY2VzLmNybDANBgkqhkiG9w0BAQUFAAOCAQEACFb8AvCb6P+k+tZ7xkSAzk/ExfYAWMymtrwUSWgEdujm7l3sAg9g1o1QGE8mTgHj5rCl7r+8dFRBv/38ErjHT1r0iWAFf2C3BUrz9vHCv8S5dIa2LX1rzNLzRt0vxuBqw8M0Ayx9lt1awg6nCpnBBYurDC/zXDrPbDdVCYfeU0BsWO/8tqtlbgT2G9w84FoVxp7Z8VlIMCFlA2zs6SFz7JsDoeA3raAVGI/6ugLOpyypEBMs1OUIJqsil2D4kF501KKaU73yqWjgom7C12yxow+ev+to51byrvLjKzg6CYG1a4XXvi3tPxq3smPi9WIsgtRqAEFQ8TmDn5XpNpaYbg==
-----END CERTIFICATE-----
","","","","","","None","11849;33065","CWE:310","","2016/12/08","2022/10/12","","",""
"103699","CVE-2017-12617","6.8","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.1 Multiple Vulnerabilities","The remote Apache Tomcat server is affected by a code execution
vulnerability.","The version of Apache Tomcat installed on the remote host is 9.0.0.M1
or later but prior to 9.0.1. It is, therefore, affected by an
unspecified vulnerability when running with HTTP PUTs enabled (e.g.
via setting the readonly initialization parameter of the Default to
false) that makes it possible to upload a JSP file to the server via
a specially crafted request. This JSP could then be requested and any
code it contained would be executed by the server.

Note that Nessus has not attempted to exploit this issue but has
instead relied only on the application's self-reported version number.","Upgrade to Apache Tomcat version 9.0.1 or later.","http://www.nessus.org/u?4f047e41","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.1
","","8.1","5.9","7.7","9.2","Medium","100954","CISA-KNOWN-EXPLOITED:2022/04/15;CEA-ID:CEA-2019-0240","","2017/10/06","2023/04/25","true","true",""
"104743","","6.1","Medium","vtop2.vitap.ac.in","tcp","443","TLS Version 1.0 Protocol Detection","The remote service encrypts traffic using an older version of TLS.","The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that aren’t enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.","https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00","TLSv1 is enabled and the server supports at least one cipher.","","6.5","","","","Medium","","CWE:327","","2017/11/22","2023/04/19","","",""
"106713","CVE-2017-15706","4.3","Low","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M22 < 9.0.2 Insecure CGI Servlet Search Algorithm Description Weakness","The remote Apache Tomcat server is affected by a flaw in
the CGI Servlet search algorithm.","The version of Apache Tomcat installed on the remote host is 9.0.x
prior to 9.0.2. It is, therefore, affected by a flaw that is due to 
the program containing an incorrect description for the CGI Servlet
search algorithm, which may cause an administrator to leave the 
system in an insecure state.","Upgrade to Apache Tomcat version 8.0.48 or later.","http://www.nessus.org/u?c5ed0752","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.2
","","3.7","3.2","3.2","1.4","Medium","","","","2018/02/09","2022/04/11","","",""
"106978","CVE-2018-1304","4.3","Medium","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.5 Insecure CGI Servlet Search Algorithm Description Weakness","The remote Apache Tomcat server is affected by multiple vulnerabilities","The version of Apache Tomcat installed on the remote host is 9.0.x prior to 9.0.5. It is, therefore, affected by a
security constraints flaw which could expose resources to unauthorized users.);   #
http://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.5   script_set_attribute(attribute:see_also,
value:http://www.nessus.org/u?909ff130

  - The URL pattern of  (the empty string) which exactly maps to the context root was not correctly handled
    in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to 8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 when used as
    part of a security constraint definition. This caused the constraint to be ignored. It was, therefore,
    possible for unauthorised users to gain access to web application resources that should have been
    protected. Only security constraints with a URL pattern of the empty string were affected. (CVE-2018-1304)

  - Security constraints defined by annotations of Servlets in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to
    8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 were only applied once a Servlet had been loaded. Because
    security constraints defined in this way apply to the URL pattern and any URLs below that point, it was
    possible - depending on the order Servlets were loaded - for some security constraints not to be applied.
    This could have exposed resources to users who were not authorised to access them. (CVE-2018-1305)","Upgrade to Apache Tomcat version 9.0.5 or later.","https://svn.apache.org/viewvc?view=rev&rev=1823310
https://svn.apache.org/viewvc?view=rev&rev=1824323
https://svn.apache.org/viewvc?view=rev&rev=1823306
https://bz.apache.org/bugzilla/show_bug.cgi?id=62067
https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.5","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.5
","","6.5","3.2","5.7","4.4","Medium","","","","2018/02/23","2023/03/21","","",""
"106978","CVE-2018-1305","4.3","Medium","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.5 Insecure CGI Servlet Search Algorithm Description Weakness","The remote Apache Tomcat server is affected by multiple vulnerabilities","The version of Apache Tomcat installed on the remote host is 9.0.x prior to 9.0.5. It is, therefore, affected by a
security constraints flaw which could expose resources to unauthorized users.);   #
http://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.5   script_set_attribute(attribute:see_also,
value:http://www.nessus.org/u?909ff130

  - The URL pattern of  (the empty string) which exactly maps to the context root was not correctly handled
    in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to 8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 when used as
    part of a security constraint definition. This caused the constraint to be ignored. It was, therefore,
    possible for unauthorised users to gain access to web application resources that should have been
    protected. Only security constraints with a URL pattern of the empty string were affected. (CVE-2018-1304)

  - Security constraints defined by annotations of Servlets in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to
    8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 were only applied once a Servlet had been loaded. Because
    security constraints defined in this way apply to the URL pattern and any URLs below that point, it was
    possible - depending on the order Servlets were loaded - for some security constraints not to be applied.
    This could have exposed resources to users who were not authorised to access them. (CVE-2018-1305)","Upgrade to Apache Tomcat version 9.0.5 or later.","https://svn.apache.org/viewvc?view=rev&rev=1823310
https://svn.apache.org/viewvc?view=rev&rev=1824323
https://svn.apache.org/viewvc?view=rev&rev=1823306
https://bz.apache.org/bugzilla/show_bug.cgi?id=62067
https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.5","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.5
","","6.5","3.2","5.7","4.4","Medium","","","","2018/02/23","2023/03/21","","",""
"111069","CVE-2018-8014","7.5","Critical","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0 < 9.0.10 Multiple Vulnerabilites","The remote Apache Tomcat server is affected by a vulnerability","The version of Apache Tomcat installed on the remote host is 9.0.x
prior to 9.0.10. It is, therefore, affected by multiple 
vulnerabilities.
  A security misconfiguration vulnerability exists in Apache Tomcat
  prior to version 9.0.9 due to insecure default settings for the 
  CORS filter (CVE-2018-8014).
  
  A security misconfiguration vulnerability exists in Apache Tomcat 
  prior to version 9.0.10. Hostname validation was not enabled by 
  default when using TLS with the WebSocket client (CVE-2018-8034).

  An information disclosure vulnerability exists in Apache Tomcat
  prior to version 9.0.10 due to a race condition. If an async
  request was completed by the application at the same time as the 
  container triggered the async timeout, this could lead to a user
  being sent the response of another user (CVE-2018-8037).","Upgrade to Apache Tomcat version 9.0.9 or later.","https://svn.apache.org/viewvc?view=rev&rev=1831726
https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.9","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.9
","","9.8","5.5","8.5","6.7","High","104203;104894;104895","","","2018/07/24","2023/05/24","","",""
"118037","CVE-2018-11784","4.3","Medium","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.12 Open Redirect Weakness","The remote Apache Tomcat server is affected by a open redirect
vulnerability.","The version of Apache Tomcat installed on the remote host is 9.0.x
prior to 9.0.12. It is, therefore, affected by a open redirect
vulnerability.","Upgrade to Apache Tomcat version 9.0.12 or later.","http://www.nessus.org/u?fae4f2a1","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.12
","","4.3","3.4","3.9","2.2","Medium","","","","2018/10/10","2022/04/11","","",""
"121010","","","None","vtop2.vitap.ac.in","tcp","443","TLS Version 1.1 Protocol Detection","The remote service encrypts traffic using an older version of TLS.","The remote service accepts connections encrypted using TLS 1.1.
TLS 1.1 lacks support for current and recommended cipher suites.
Ciphers that support encryption before MAC computation, and
authenticated encryption modes such as GCM cannot be used with
TLS 1.1

As of March 31, 2020, Endpoints that are not enabled for TLS 1.2 
and higher will no longer function properly with major web browsers and major vendors.","Enable support for TLS 1.2 and/or 1.3, and disable support for TLS 1.1.","https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00
http://www.nessus.org/u?c8ae820d","TLSv1.1 is enabled and the server supports at least one cipher.","","","","","","None","","CWE:327","","2019/01/08","2023/04/19","","",""
"121124","CVE-2018-1336","5.0","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 8.0.x < 8.0.52 / 8.5.x < 8.5.31 / 9.0.x < 9.0.8 Denial of Service","The remote Apache Tomcat server is affected by a 
denial of service vulnerability.","According to its self-reported version number, the Apache Tomcat
instance listening on the remote host is 8.0.x < 8.0.52, 
8.5.x < 8.5.31 or 9.0.x < 9.0.8. It is, therefore, affected 
by the following vulnerability:

  - A denial of service (DoS) vulnerability exists in 
    Tomcat due to improper overflow handling in the UTF-8
    decoder. An unauthenticated, remote attacker can exploit 
    this issue to cause an infinite loop in the decoder,
    leading to a denial of service condition.

Note that Nessus has not tested for these issues but has instead
relied only on the application's self-reported version number.","Upgrade to Apache Tomcat version 8.0.52 / 8.5.31 / 9.0.8 or later.","http://tomcat.apache.org/security-8.html#Fixed_in_Apache_Tomcat_8.0.52
http://tomcat.apache.org/security-8.html#Fixed_in_Apache_Tomcat_8.5.31
http://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.8","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.8
","","7.5","3.7","6.5","3.6","Medium","","","","2019/01/11","2022/04/11","","",""
"122447","CVE-2018-1336","5.0","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.8 Denial of Service Vulnerability","The remote Apache Tomcat server is affected by a denial of service 
 vulnerability","A denial of service (DoS) vulnerability exists in Apache Tomcat,
in versions between 9.0.0.M1 and 9.0.7 (inclusive), due to improper 
overflow handling in the UTF-8 decoder component. An unauthenticated, 
remote attacker can exploit this issue, to cause the application to 
stop responding.","Upgrade to Apache Tomcat version 9.0.8 or later.","http://www.nessus.org/u?682f269a","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.8
","","7.5","3.7","6.5","3.6","Medium","104898","","","2019/02/27","2022/04/11","","",""
"126245","CVE-2019-0199","5.0","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.20 DoS","The remote Apache Tomcat server is affected by a denial of service vulnerability","The version of Tomcat installed on the remote host is prior to 9.0.20. It is, therefore, affected by a vulnerability as
referenced in the fixed_in_apache_tomcat_9.0.20_security-9 advisory.

  - The fix for CVE-2019-0199 was incomplete and did not
    address HTTP/2 connection window exhaustion on write. By
    not sending WINDOW_UPDATE messages for the connection
    window (stream 0) clients were able to cause server-side
    threads to block eventually leading to thread exhaustion
    and a DoS. (CVE-2019-10072)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache Tomcat version 9.0.20 or later.","https://github.com/apache/tomcat/commit/7f748eb
https://github.com/apache/tomcat/commit/ada725a
https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.20","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.20
","","7.5","3.7","6.5","6.7","Medium","","","","2019/06/25","2022/04/11","","",""
"126245","CVE-2019-10072","5.0","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.20 DoS","The remote Apache Tomcat server is affected by a denial of service vulnerability","The version of Tomcat installed on the remote host is prior to 9.0.20. It is, therefore, affected by a vulnerability as
referenced in the fixed_in_apache_tomcat_9.0.20_security-9 advisory.

  - The fix for CVE-2019-0199 was incomplete and did not
    address HTTP/2 connection window exhaustion on write. By
    not sending WINDOW_UPDATE messages for the connection
    window (stream 0) clients were able to cause server-side
    threads to block eventually leading to thread exhaustion
    and a DoS. (CVE-2019-10072)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache Tomcat version 9.0.20 or later.","https://github.com/apache/tomcat/commit/7f748eb
https://github.com/apache/tomcat/commit/ada725a
https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.20","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.20
","","7.5","3.7","6.5","6.7","Medium","","","","2019/06/25","2022/04/11","","",""
"126312","CVE-2019-0199","5.0","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.16 DoS","The remote Apache Tomcat server is affected by a denial of service vulnerability","The version of Tomcat installed on the remote host is prior to 9.0.16.
It is, therefore, affected by a vulnerability as referenced in the
fixed_in_apache_tomcat_9.0.16_security-9 advisory.

  - The HTTP/2 implementation accepted streams with
    excessive numbers of SETTINGS frames and also permitted
    clients to keep streams open without reading/writing
    request/response data. By keeping streams open for
    requests that utilised the Servlet API's blocking I/O,
    clients were able to cause server-side threads to block
    eventually leading to thread exhaustion and a DoS.
    (CVE-2019-0199)

Note that Nessus has not tested for this issue but has instead relied
only on the application's self-reported version number.","Upgrade to Apache Tomcat version 9.0.16 or later.","https://svn.apache.org/viewvc?view=rev&rev=1852698
https://svn.apache.org/viewvc?view=rev&rev=1852699
https://svn.apache.org/viewvc?view=rev&rev=1852700
https://svn.apache.org/viewvc?view=rev&rev=1852701
https://svn.apache.org/viewvc?view=rev&rev=1852702
https://svn.apache.org/viewvc?view=rev&rev=1852703
https://svn.apache.org/viewvc?view=rev&rev=1852704
https://svn.apache.org/viewvc?view=rev&rev=1852705
https://svn.apache.org/viewvc?view=rev&rev=1852706
https://github.com/apache/tomcat/commit/a1cb1ac
http://www.nessus.org/u?f6dc25b8","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.16
","","7.5","3.7","6.5","6.7","Medium","","","","2019/06/27","2022/04/11","","",""
"132419","CVE-2019-17563","5.1","High","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 9.0.0.M1 < 9.0.30 Privilege Escalation Vulnerability","The remote Apache Tomcat server is affected by a privilege escalation vulnerability","The version of Tomcat installed on the remote host is prior to 9.0.30. It is, therefore, affected by a privilege
escalation vulnerability as referenced in the 'Fixed in Apache Tomcat 9.0.30' advisory.

  - When using FORM authentication there was a narrow window where an attacker could perform a session
    fixation attack. The window was considered too narrow for an exploit to be practical but, erring on the
    side of caution, this issue has been treated as a security vulnerability. (CVE-2019-17563)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version
number.","Upgrade to Apache Tomcat version 9.0.30 or later.","https://github.com/apache/tomcat/commit/1ecba14
http://www.nessus.org/u?ba131b16","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.30
","","7.5","3.8","6.5","6.7","Medium","","CEA-ID:CEA-2021-0004","","2019/12/27","2022/12/05","","",""
"133845","CVE-2019-17569","7.5","Critical","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 7.0.x < 7.0.100 / 8.5.x < 8.5.51 / 9.0.x < 9.0.31 Multiple Vulnerabilities","The remote Apache Tomcat server is affected by multiple vulnerabilities.","The version of Tomcat installed on the remote host is 7.0.x prior to 7.0.100, 8.x prior to 8.5.51, or 9.0.x prior to 9.0.31. It
is, therefore, affected by multiple vulnerabilities.

  - An HTTP request smuggling vulnerability exists in Tomcat due to mishandling Transfer-Encoding headers
    behind a reverse proxy. An unauthenticated, remote attacker can exploit this, via crafted HTTP requests,
    to cause unintended HTTP requests to reach the back-end. (CVE-2019-17569)

  - An HTTP request smuggling vulnerability exists in Tomcat due to bad end-of-line (EOL) parsing that allowed
    some invalid HTTP headers to be parsed as valid. An unauthenticated, remote attacker can exploit this, via
    crafted HTTP requests, to cause unintended HTTP requests to reach the back-end. (CVE-2020-1935)

  - An arbitrary file read vulnerability exists in Tomcat's Apache JServ Protocol (AJP) due to an
    implementation defect. A remote, unauthenticated attacker could exploit this to access files which, under
    normal conditions, would be restricted. If the Tomcat instance supports file uploads, the vulnerability
    could also be leveraged to achieve remote code execution. (CVE-2020-1938)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version 
number.","Upgrade to Apache Tomcat version 7.0.100, 8.5.51, 9.0.31 or later.","https://www.cnvd.org.cn/webinfo/show/5415
http://www.nessus.org/u?8ebe6246
http://www.nessus.org/u?4e287adb
http://www.nessus.org/u?cbc3d54e","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.31
","I","9.8","6.5","9.4","9.0","High","","IAVB:2020-B-0010-S;CISA-KNOWN-EXPLOITED:2022/03/17;CEA-ID:CEA-2020-0021","","2020/02/21","2023/01/11","","",""
"133845","CVE-2020-1935","7.5","Critical","vtop2.vitap.ac.in","tcp","443","Apache Tomcat 7.0.x < 7.0.100 / 8.5.x < 8.5.51 / 9.0.x < 9.0.31 Multiple Vulnerabilities","The remote Apache Tomcat server is affected by multiple vulnerabilities.","The version of Tomcat installed on the remote host is 7.0.x prior to 7.0.100, 8.x prior to 8.5.51, or 9.0.x prior to 9.0.31. It
is, therefore, affected by multiple vulnerabilities.

  - An HTTP request smuggling vulnerability exists in Tomcat due to mishandling Transfer-Encoding headers
    behind a reverse proxy. An unauthenticated, remote attacker can exploit this, via crafted HTTP requests,
    to cause unintended HTTP requests to reach the back-end. (CVE-2019-17569)

  - An HTTP request smuggling vulnerability exists in Tomcat due to bad end-of-line (EOL) parsing that allowed
    some invalid HTTP headers to be parsed as valid. An unauthenticated, remote attacker can exploit this, via
    crafted HTTP requests, to cause unintended HTTP requests to reach the back-end. (CVE-2020-1935)

  - An arbitrary file read vulnerability exists in Tomcat's Apache JServ Protocol (AJP) due to an
    implementation defect. A remote, unauthenticated attacker could exploit this to access files which, under
    normal conditions, would be restricted. If the Tomcat instance supports file uploads, the vulnerability
    could also be leveraged to achieve remote code execution. (CVE-2020-1938)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version 
number.","Upgrade to Apache Tomcat version 7.0.100, 8.5.51, 9.0.31 or later.","https://www.cnvd.org.cn/webinfo/show/5415
http://www.nessus.org/u?8ebe6246
http://www.nessus.org/u?4e287adb
http://www.nessus.org/u?cbc3d54e","
  Installed version : 9.0.0.M26
  Fixed version     : 9.0.31
","I","9.8","6.5","9.4","9.0","High","","IAVB:2020-B-0010-S;CISA-KNOWN-EXPLOITED:2022/03/17;CEA-ID:CEA-2020-0021","","2020/02/21","2023/01/11","","",""
